epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2136,0.44537,1.1201,0.99661,0.83053,0.58681,0.69756,0.65887,0.37701,0.79653,0.81253,0.000127423,0.000127423,0.000127423
2,91.169,0.39555,0.82089,0.94557,0.69225,0.66855,0.71969,0.67905,0.36938,0.72832,0.8078,0.000250693,0.000250693,0.000250693
3,134.579,0.40588,0.79925,0.9535,0.74963,0.60668,0.67909,0.61771,0.49362,0.83495,0.95708,0.00036888,0.00036888,0.00036888
4,178.164,0.4051,0.80264,0.95374,0.82202,0.69073,0.75811,0.70069,0.39668,0.67791,0.82954,0.000362131,0.000362131,0.000362131
5,222.224,0.40548,0.79053,0.9542,0.78757,0.60777,0.71216,0.65969,0.41138,0.78425,0.8425,0.000354508,0.000354508,0.000354508
6,264.665,0.38348,0.74931,0.93944,0.79465,0.60761,0.72338,0.65788,0.4367,0.71662,0.85334,0.000346885,0.000346885,0.000346885
7,307.165,0.3797,0.73112,0.93054,0.73585,0.73669,0.76529,0.71921,0.36362,0.58569,0.80432,0.000339262,0.000339262,0.000339262
8,351.811,0.37409,0.71369,0.92956,0.72881,0.647,0.72024,0.67024,0.3856,0.64757,0.79976,0.000331639,0.000331639,0.000331639
9,394.019,0.3688,0.6827,0.92427,0.81362,0.62241,0.71639,0.67542,0.38398,0.67935,0.81772,0.000324016,0.000324016,0.000324016
10,436.601,0.36453,0.68332,0.9261,0.72299,0.70048,0.74784,0.71197,0.34681,0.56521,0.80806,0.000316393,0.000316393,0.000316393
11,480.167,0.36431,0.6575,0.93132,0.91585,0.58477,0.75223,0.70579,0.36085,0.58263,0.81746,0.00030877,0.00030877,0.00030877
12,522.701,0.36365,0.66143,0.9285,0.78514,0.70989,0.76636,0.71757,0.35133,0.51108,0.81008,0.000301147,0.000301147,0.000301147
13,565.049,0.35684,0.67289,0.92753,0.80724,0.67249,0.71899,0.67096,0.38951,0.6731,0.83583,0.000293524,0.000293524,0.000293524
14,607.571,0.35341,0.64677,0.91802,0.91719,0.73229,0.83318,0.78298,0.34328,0.43149,0.79451,0.000285901,0.000285901,0.000285901
15,652.166,0.35144,0.62048,0.9217,0.87368,0.71882,0.82499,0.78683,0.3383,0.44061,0.79249,0.000278278,0.000278278,0.000278278
16,695.538,0.35086,0.59272,0.91863,0.81184,0.67119,0.77534,0.72816,0.36435,0.59169,0.81181,0.000270655,0.000270655,0.000270655
17,738.068,0.34437,0.59564,0.9127,0.8153,0.69127,0.73758,0.70152,0.34499,0.52916,0.79192,0.000263032,0.000263032,0.000263032
18,781.339,0.34601,0.59911,0.91836,0.92887,0.69169,0.79978,0.75695,0.33197,0.49336,0.78319,0.000255409,0.000255409,0.000255409
19,823.806,0.33204,0.57982,0.90499,0.82987,0.67561,0.76517,0.71347,0.37904,0.55723,0.81899,0.000247786,0.000247786,0.000247786
20,866.147,0.33433,0.58785,0.90946,0.89046,0.67552,0.74982,0.69915,0.36659,0.5629,0.82368,0.000240163,0.000240163,0.000240163
21,909.461,0.33349,0.55858,0.90727,0.83867,0.56832,0.66003,0.60521,0.44796,0.85138,0.87696,0.00023254,0.00023254,0.00023254
22,951.843,0.32843,0.54516,0.9042,0.7037,0.74295,0.77465,0.72994,0.34947,0.51507,0.80932,0.000224917,0.000224917,0.000224917
23,994.177,0.319,0.53337,0.90154,0.78749,0.73178,0.80803,0.76211,0.3322,0.45219,0.79842,0.000217294,0.000217294,0.000217294
24,1037.02,0.32505,0.54392,0.90614,0.92425,0.64153,0.81394,0.76958,0.32624,0.49009,0.78624,0.000209671,0.000209671,0.000209671
25,1080.05,0.32774,0.53565,0.90422,0.87962,0.65316,0.79289,0.75679,0.3233,0.44462,0.78745,0.000202048,0.000202048,0.000202048
26,1121.96,0.31572,0.54992,0.90075,0.86594,0.66864,0.76213,0.72259,0.33175,0.56475,0.80356,0.000194425,0.000194425,0.000194425
27,1164.26,0.32103,0.52108,0.90068,0.90819,0.72015,0.80883,0.75831,0.33446,0.42738,0.7949,0.000186802,0.000186802,0.000186802
28,1207.75,0.3125,0.51404,0.89918,0.94347,0.72359,0.83963,0.79236,0.32524,0.41858,0.79205,0.000179179,0.000179179,0.000179179
29,1251.53,0.30734,0.49859,0.88889,0.9188,0.73852,0.83191,0.78738,0.32194,0.41995,0.77831,0.000171556,0.000171556,0.000171556
30,1293.93,0.3074,0.49168,0.89086,0.93051,0.71053,0.82072,0.77403,0.3137,0.43395,0.7611,0.000163933,0.000163933,0.000163933
31,1336.11,0.30677,0.48258,0.88867,0.91804,0.74541,0.84486,0.79895,0.31655,0.39416,0.76661,0.00015631,0.00015631,0.00015631
32,1380.93,0.30698,0.48671,0.88633,0.89369,0.68232,0.79381,0.74984,0.32808,0.47526,0.78151,0.000148687,0.000148687,0.000148687
33,1423.25,0.30548,0.49192,0.88794,0.84827,0.73489,0.82259,0.78352,0.31148,0.39403,0.77385,0.000141064,0.000141064,0.000141064
34,1465.52,0.29919,0.47027,0.89051,0.80767,0.74072,0.82483,0.78085,0.31121,0.42034,0.77338,0.000133441,0.000133441,0.000133441
35,1509.03,0.29559,0.47334,0.88705,0.92749,0.65584,0.80614,0.7609,0.31169,0.44477,0.77252,0.000125818,0.000125818,0.000125818
36,1551.71,0.29531,0.45651,0.88401,0.91313,0.73775,0.82201,0.78372,0.3067,0.40001,0.76887,0.000118195,0.000118195,0.000118195
37,1593.82,0.29335,0.46748,0.88747,0.91356,0.719,0.81787,0.77643,0.30769,0.41017,0.77488,0.000110572,0.000110572,0.000110572
38,1636.16,0.28935,0.44274,0.88296,0.89643,0.68007,0.80078,0.76064,0.301,0.40791,0.76404,0.000102949,0.000102949,0.000102949
39,1679.63,0.29053,0.44303,0.88502,0.71297,0.7555,0.79385,0.75335,0.32462,0.44205,0.78421,9.5326e-05,9.5326e-05,9.5326e-05
40,1721.97,0.28827,0.44053,0.88325,0.84087,0.71602,0.77789,0.73459,0.34122,0.47044,0.80557,8.7703e-05,8.7703e-05,8.7703e-05
41,1765.52,0.25101,0.28303,0.85627,0.85032,0.83914,0.89284,0.85208,0.30676,0.31798,0.77133,8.008e-05,8.008e-05,8.008e-05
42,1810.08,0.24209,0.2473,0.85229,0.90427,0.79382,0.88757,0.83635,0.30287,0.31824,0.76326,7.2457e-05,7.2457e-05,7.2457e-05
43,1852.56,0.23855,0.2283,0.84535,0.94489,0.85133,0.90745,0.86188,0.30392,0.30159,0.76319,6.4834e-05,6.4834e-05,6.4834e-05
44,1896.05,0.23384,0.22686,0.84284,0.93014,0.80195,0.89553,0.8529,0.30609,0.30555,0.75554,5.7211e-05,5.7211e-05,5.7211e-05
45,1938.31,0.23624,0.22736,0.8449,0.88778,0.78488,0.89745,0.85006,0.30419,0.32224,0.75705,4.9588e-05,4.9588e-05,4.9588e-05
46,1981.93,0.23024,0.21201,0.84674,0.75962,0.84237,0.88874,0.84528,0.30196,0.30872,0.757,4.1965e-05,4.1965e-05,4.1965e-05
47,2024.27,0.23035,0.19832,0.84144,0.95233,0.79175,0.89699,0.85266,0.30644,0.30855,0.75984,3.4342e-05,3.4342e-05,3.4342e-05
48,2066.75,0.22674,0.19597,0.83613,0.879,0.8215,0.90211,0.85685,0.30033,0.29568,0.75343,2.6719e-05,2.6719e-05,2.6719e-05
49,2110.08,0.22377,0.19333,0.83854,0.87728,0.82969,0.90362,0.85433,0.29901,0.29068,0.75198,1.9096e-05,1.9096e-05,1.9096e-05
50,2152.53,0.22154,0.19434,0.8392,0.85564,0.86559,0.90504,0.85991,0.30098,0.29274,0.75711,1.1473e-05,1.1473e-05,1.1473e-05
