epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.795,0.46297,1.2175,1.02584,0.86709,0.68543,0.77515,0.73836,0.35385,0.72209,0.85655,0.000127423,0.000127423,0.000127423
2,200.839,0.41393,0.88464,0.97532,0.86151,0.68189,0.78212,0.73868,0.36469,0.64258,0.8746,0.000250693,0.000250693,0.000250693
3,297.013,0.42395,0.83504,0.97062,0.77638,0.68627,0.72252,0.67458,0.37978,0.69127,0.85984,0.00036888,0.00036888,0.00036888
4,391.893,0.43076,0.8464,0.97284,0.83117,0.66762,0.76102,0.71035,0.38939,0.69389,0.86934,0.000362131,0.000362131,0.000362131
5,486.408,0.42854,0.82775,0.9754,0.77507,0.67721,0.76598,0.72155,0.37077,0.70452,0.86845,0.000354508,0.000354508,0.000354508
6,580.23,0.40593,0.79072,0.96438,0.84725,0.69877,0.81421,0.74932,0.37321,0.56212,0.85496,0.000346885,0.000346885,0.000346885
7,675.881,0.41087,0.77473,0.9602,0.8728,0.70921,0.81578,0.7689,0.36379,0.48144,0.86548,0.000339262,0.000339262,0.000339262
8,771.532,0.39704,0.74487,0.95506,0.82134,0.68461,0.8266,0.77397,0.35919,0.51259,0.85839,0.000331639,0.000331639,0.000331639
9,867.158,0.39414,0.72527,0.95181,0.83532,0.64132,0.73358,0.68172,0.40528,0.65158,0.90583,0.000324016,0.000324016,0.000324016
10,960.003,0.3914,0.71227,0.94593,0.84441,0.67712,0.75517,0.71522,0.36483,0.61722,0.84633,0.000316393,0.000316393,0.000316393
11,1057.7,0.38809,0.69489,0.95082,0.86582,0.6865,0.81765,0.77367,0.35169,0.56366,0.85103,0.00030877,0.00030877,0.00030877
12,1150.67,0.38812,0.69125,0.95151,0.78936,0.73161,0.79576,0.7509,0.36526,0.54631,0.85929,0.000301147,0.000301147,0.000301147
13,1245.34,0.37828,0.70755,0.94532,0.71642,0.75276,0.81669,0.77444,0.35967,0.56862,0.84144,0.000293524,0.000293524,0.000293524
14,1338.84,0.37447,0.67436,0.94114,0.87102,0.71954,0.81068,0.76862,0.35991,0.49462,0.85847,0.000285901,0.000285901,0.000285901
15,1433.58,0.37377,0.64708,0.93714,0.7925,0.78313,0.83271,0.78793,0.34755,0.44801,0.8206,0.000278278,0.000278278,0.000278278
16,1529.6,0.37123,0.62219,0.9308,0.84864,0.74215,0.81269,0.76011,0.34976,0.48857,0.80334,0.000270655,0.000270655,0.000270655
17,1629.16,0.36165,0.61895,0.93058,0.67086,0.73547,0.77403,0.72425,0.35092,0.5275,0.81285,0.000263032,0.000263032,0.000263032
18,1720.15,0.36886,0.62044,0.93155,0.86847,0.7178,0.84102,0.78818,0.35686,0.52885,0.81307,0.000255409,0.000255409,0.000255409
19,1814.03,0.35393,0.59573,0.92321,0.88053,0.72696,0.82463,0.77341,0.36744,0.46431,0.82419,0.000247786,0.000247786,0.000247786
20,1909.06,0.35267,0.60854,0.92446,0.78092,0.73025,0.84896,0.7952,0.34554,0.45655,0.81241,0.000240163,0.000240163,0.000240163
21,2005.15,0.35187,0.57751,0.9232,0.7004,0.81021,0.83195,0.78814,0.32972,0.47796,0.80867,0.00023254,0.00023254,0.00023254
22,2099.84,0.34572,0.56787,0.92486,0.78086,0.76439,0.83937,0.79652,0.32944,0.46449,0.83151,0.000224917,0.000224917,0.000224917
23,2199.76,0.33747,0.5535,0.91732,0.83646,0.78095,0.85279,0.80359,0.32603,0.42865,0.83325,0.000217294,0.000217294,0.000217294
24,2293.42,0.34185,0.57292,0.92012,0.80579,0.73274,0.80223,0.75666,0.32906,0.43536,0.82325,0.000209671,0.000209671,0.000209671
25,2388.29,0.3449,0.54714,0.9194,0.75285,0.78776,0.82492,0.77899,0.32532,0.4412,0.81106,0.000202048,0.000202048,0.000202048
26,2483.16,0.33039,0.54655,0.91706,0.91208,0.71344,0.82476,0.77751,0.33244,0.45072,0.83043,0.000194425,0.000194425,0.000194425
27,2578.26,0.33641,0.52987,0.91797,0.89918,0.74688,0.84729,0.80162,0.32558,0.40103,0.83002,0.000186802,0.000186802,0.000186802
28,2671.07,0.32837,0.52539,0.91424,0.87267,0.74646,0.83363,0.79155,0.32595,0.47272,0.82424,0.000179179,0.000179179,0.000179179
29,2766.82,0.32036,0.5046,0.90592,0.78023,0.72943,0.81983,0.78577,0.31312,0.42772,0.8267,0.000171556,0.000171556,0.000171556
30,2862.6,0.32146,0.48248,0.9127,0.80526,0.73872,0.83934,0.80257,0.3185,0.39444,0.83061,0.000163933,0.000163933,0.000163933
31,2959.07,0.31918,0.48133,0.90652,0.81106,0.76768,0.8381,0.80184,0.30987,0.37663,0.81012,0.00015631,0.00015631,0.00015631
32,3055.94,0.31837,0.48891,0.9068,0.84411,0.7301,0.84795,0.80923,0.3081,0.38398,0.81276,0.000148687,0.000148687,0.000148687
33,3149.85,0.31602,0.49387,0.90652,0.77309,0.79392,0.84442,0.80367,0.31202,0.42152,0.82416,0.000141064,0.000141064,0.000141064
34,3244.45,0.31161,0.47087,0.90762,0.7486,0.76637,0.83806,0.8048,0.30607,0.4152,0.8204,0.000133441,0.000133441,0.000133441
35,3339.91,0.31006,0.47475,0.90852,0.75731,0.78291,0.8303,0.79493,0.30801,0.38179,0.81423,0.000125818,0.000125818,0.000125818
36,3434.62,0.30384,0.46022,0.89978,0.8279,0.73664,0.83192,0.79744,0.31082,0.40212,0.82032,0.000118195,0.000118195,0.000118195
37,3527.12,0.30233,0.45802,0.90138,0.77616,0.78819,0.84001,0.80634,0.30639,0.41999,0.81166,0.000110572,0.000110572,0.000110572
38,3621.56,0.29854,0.43932,0.8974,0.81089,0.75552,0.84148,0.80713,0.30801,0.42458,0.8173,0.000102949,0.000102949,0.000102949
39,3716.05,0.29986,0.4467,0.90031,0.79377,0.79397,0.83383,0.79844,0.31459,0.39224,0.82566,9.5326e-05,9.5326e-05,9.5326e-05
40,3810.83,0.29488,0.43585,0.90061,0.86672,0.76836,0.83529,0.79488,0.30565,0.38218,0.81741,8.7703e-05,8.7703e-05,8.7703e-05
41,3901.29,0.25028,0.27661,0.86531,0.87437,0.79464,0.87826,0.84198,0.31077,0.329,0.82821,8.008e-05,8.008e-05,8.008e-05
42,3976.68,0.24393,0.2227,0.86554,0.82406,0.76903,0.86018,0.82718,0.3113,0.3237,0.82657,7.2457e-05,7.2457e-05,7.2457e-05
43,4049.59,0.23936,0.20297,0.85795,0.80913,0.80099,0.85904,0.81552,0.31226,0.32692,0.83177,6.4834e-05,6.4834e-05,6.4834e-05
44,4122.01,0.23746,0.20172,0.85875,0.76227,0.8363,0.85925,0.81815,0.3097,0.33943,0.82528,5.7211e-05,5.7211e-05,5.7211e-05
45,4195.02,0.2385,0.20823,0.86246,0.79125,0.83076,0.86879,0.83608,0.30833,0.33108,0.82371,4.9588e-05,4.9588e-05,4.9588e-05
46,4267.98,0.2304,0.18649,0.85783,0.7817,0.84397,0.86925,0.8265,0.31193,0.33793,0.8263,4.1965e-05,4.1965e-05,4.1965e-05
47,4340.97,0.23274,0.18478,0.85534,0.80369,0.83951,0.86884,0.83316,0.31004,0.34341,0.82313,3.4342e-05,3.4342e-05,3.4342e-05
48,4413.7,0.22787,0.18358,0.85308,0.82672,0.82383,0.86778,0.82808,0.30876,0.3353,0.82362,2.6719e-05,2.6719e-05,2.6719e-05
49,4488.38,0.22448,0.17337,0.8553,0.81156,0.8352,0.86824,0.83121,0.3083,0.33115,0.82265,1.9096e-05,1.9096e-05,1.9096e-05
50,4560.89,0.22513,0.17892,0.85779,0.83353,0.81171,0.86857,0.83615,0.30713,0.33225,0.82044,1.1473e-05,1.1473e-05,1.1473e-05
