epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8885,0.45007,1.12847,0.99464,0.88717,0.69005,0.80711,0.76154,0.35151,0.6338,0.79429,0.000127423,0.000127423,0.000127423
2,227.802,0.394,0.83539,0.94329,0.88469,0.69323,0.82236,0.76827,0.35813,0.61264,0.7986,0.000250693,0.000250693,0.000250693
3,326.26,0.39771,0.81311,0.94476,0.85965,0.65709,0.74036,0.69216,0.3901,0.622,0.82161,0.00036888,0.00036888,0.00036888
4,428.13,0.39712,0.81163,0.93748,0.84581,0.75855,0.82691,0.77055,0.36964,0.56716,0.80368,0.000362131,0.000362131,0.000362131
5,551.238,0.39344,0.80201,0.94041,0.90318,0.68487,0.80956,0.76146,0.3726,0.6222,0.79389,0.000354508,0.000354508,0.000354508
6,674.176,0.37682,0.76229,0.9269,0.86358,0.78862,0.85048,0.80619,0.34455,0.48984,0.75222,0.000346885,0.000346885,0.000346885
7,798.153,0.37796,0.7319,0.91987,0.79716,0.78508,0.851,0.79938,0.35053,0.45391,0.76846,0.000339262,0.000339262,0.000339262
8,919.657,0.37284,0.70237,0.92025,0.89808,0.75279,0.85132,0.80743,0.3438,0.46204,0.77163,0.000331639,0.000331639,0.000331639
9,1043.81,0.3697,0.67988,0.9153,0.90174,0.77081,0.85631,0.80838,0.35988,0.50032,0.77834,0.000324016,0.000324016,0.000324016
10,1168.95,0.35878,0.67576,0.91148,0.7685,0.79956,0.83291,0.79158,0.34837,0.53803,0.77858,0.000316393,0.000316393,0.000316393
11,1290.46,0.36049,0.66252,0.9129,0.88665,0.76767,0.85947,0.81111,0.33374,0.44192,0.7732,0.00030877,0.00030877,0.00030877
12,1415.23,0.35831,0.66769,0.91764,0.78046,0.78653,0.82946,0.78965,0.34486,0.44052,0.75991,0.000301147,0.000301147,0.000301147
13,1539.66,0.35339,0.66598,0.90793,0.87466,0.75903,0.85136,0.80654,0.33625,0.43382,0.76346,0.000293524,0.000293524,0.000293524
14,1660.87,0.34763,0.63214,0.90826,0.87712,0.84066,0.88731,0.83094,0.3443,0.44444,0.78631,0.000285901,0.000285901,0.000285901
15,1785.39,0.34376,0.61349,0.91063,0.92682,0.84112,0.8915,0.85207,0.32497,0.37666,0.76745,0.000278278,0.000278278,0.000278278
16,1910.65,0.34015,0.60091,0.90633,0.94455,0.80891,0.8881,0.84443,0.32412,0.39425,0.75734,0.000270655,0.000270655,0.000270655
17,2032.11,0.33247,0.58832,0.90109,0.87224,0.8309,0.88109,0.82634,0.32937,0.36642,0.77126,0.000263032,0.000263032,0.000263032
18,2155.12,0.33739,0.5973,0.90524,0.9282,0.76106,0.85896,0.8111,0.33334,0.41393,0.79541,0.000255409,0.000255409,0.000255409
19,2277.96,0.32178,0.57873,0.89671,0.88549,0.82347,0.87095,0.822,0.33989,0.39998,0.78743,0.000247786,0.000247786,0.000247786
20,2401.12,0.32778,0.57678,0.89872,0.87886,0.79528,0.85666,0.80312,0.33715,0.41102,0.7808,0.000240163,0.000240163,0.000240163
21,2524.49,0.32399,0.55077,0.89571,0.93073,0.80775,0.88635,0.83674,0.33733,0.39701,0.7781,0.00023254,0.00023254,0.00023254
22,2648.48,0.32404,0.55098,0.89868,0.93138,0.786,0.8648,0.82187,0.32551,0.39439,0.77311,0.000224917,0.000224917,0.000224917
23,2769.56,0.31066,0.52942,0.8885,0.90432,0.86027,0.90145,0.85798,0.30694,0.34933,0.74838,0.000217294,0.000217294,0.000217294
24,2894.04,0.31778,0.53624,0.88918,0.95041,0.80655,0.88333,0.83737,0.32198,0.37643,0.76815,0.000209671,0.000209671,0.000209671
25,3016.5,0.3226,0.52991,0.89205,0.90368,0.81629,0.8783,0.83942,0.30909,0.36919,0.75135,0.000202048,0.000202048,0.000202048
26,3139.18,0.30743,0.52461,0.88885,0.91875,0.77708,0.86092,0.81488,0.31437,0.41732,0.76382,0.000194425,0.000194425,0.000194425
27,3262.06,0.31195,0.50575,0.89067,0.93235,0.82745,0.87671,0.83141,0.31262,0.33536,0.7595,0.000186802,0.000186802,0.000186802
28,3384.3,0.30508,0.50375,0.89104,0.93345,0.81902,0.89321,0.84657,0.32333,0.34721,0.7786,0.000179179,0.000179179,0.000179179
29,3507.24,0.30054,0.49741,0.88489,0.93409,0.83019,0.8929,0.84374,0.30269,0.33605,0.7592,0.000171556,0.000171556,0.000171556
30,3630.33,0.2999,0.47371,0.88818,0.93071,0.80537,0.89433,0.84248,0.31279,0.38248,0.77222,0.000163933,0.000163933,0.000163933
31,3753.21,0.298,0.4709,0.88142,0.93522,0.81689,0.8846,0.83444,0.31667,0.33433,0.77643,0.00015631,0.00015631,0.00015631
32,3876.18,0.29457,0.47954,0.8819,0.92412,0.82339,0.89141,0.85346,0.30751,0.33858,0.76547,0.000148687,0.000148687,0.000148687
33,3999.59,0.29634,0.47553,0.88177,0.931,0.84939,0.90002,0.85437,0.31071,0.34512,0.75455,0.000141064,0.000141064,0.000141064
34,4122.54,0.2912,0.46204,0.88056,0.92098,0.82519,0.89223,0.84534,0.30627,0.34011,0.76155,0.000133441,0.000133441,0.000133441
35,4245.55,0.288,0.45873,0.87987,0.89509,0.84633,0.88818,0.8401,0.31086,0.37005,0.7621,0.000125818,0.000125818,0.000125818
36,4368.53,0.28574,0.45342,0.87626,0.91996,0.8269,0.89914,0.85511,0.30791,0.32617,0.77178,0.000118195,0.000118195,0.000118195
37,4491.34,0.28224,0.44874,0.87848,0.76294,0.89472,0.90518,0.86472,0.3059,0.34131,0.76478,0.000110572,0.000110572,0.000110572
38,4615.25,0.28056,0.43058,0.87433,0.91736,0.81976,0.90422,0.85519,0.30652,0.32628,0.76595,0.000102949,0.000102949,0.000102949
39,4738.34,0.282,0.43087,0.87578,0.94432,0.81324,0.89397,0.84267,0.31296,0.34671,0.7682,9.5326e-05,9.5326e-05,9.5326e-05
40,4860.49,0.27805,0.43118,0.87451,0.92517,0.84049,0.90029,0.85052,0.31166,0.34064,0.76407,8.7703e-05,8.7703e-05,8.7703e-05
41,4984.94,0.24191,0.26533,0.84408,0.91361,0.81552,0.8941,0.85216,0.31124,0.346,0.75985,8.008e-05,8.008e-05,8.008e-05
42,5108.04,0.23582,0.23732,0.84332,0.84032,0.87515,0.85221,0.81349,0.30263,0.34014,0.74412,7.2457e-05,7.2457e-05,7.2457e-05
43,5230.89,0.23006,0.21765,0.83774,0.88824,0.86352,0.89635,0.85859,0.29913,0.31374,0.74846,6.4834e-05,6.4834e-05,6.4834e-05
44,5353.79,0.22703,0.21094,0.83854,0.95805,0.83815,0.90052,0.85819,0.2994,0.30844,0.7493,5.7211e-05,5.7211e-05,5.7211e-05
45,5475.61,0.22781,0.2129,0.83988,0.91786,0.83962,0.89929,0.85307,0.29871,0.3005,0.75265,4.9588e-05,4.9588e-05,4.9588e-05
46,5583.67,0.21968,0.19381,0.83887,0.95533,0.85166,0.90803,0.86104,0.29983,0.28862,0.75172,4.1965e-05,4.1965e-05,4.1965e-05
47,5671.95,0.22207,0.1853,0.8357,0.96977,0.81102,0.91727,0.86858,0.29561,0.28276,0.74782,3.4342e-05,3.4342e-05,3.4342e-05
