image_name,caption,raw_caption,recaption_model
000001.png,"Figure 1 illustrates the geometry of honeycomb plate metamaterials through a series of scanning electron micrographs (SEMs) and schematic representations.
**(a)** An SEM image displays a 1-mm-long cantilevered rectangular plate made of 35-nm-thick ALD alumina film, featuring a hexagonal honeycomb metamaterial geometry. The ALD alumina film is colored blue and is anchored to a larger structure on the right. A white scale bar at the bottom right measures 100 μm.
**(b)** A detailed SEM image shows a close-up of the hexagonal cell structure, colored blue, highlighting its vertical walls and cell bottoms. A white scale bar at the bottom right measures 10 μm.
**(c)** A schematic representation illustrates an individual hexagonal cell, colored blue, with labels indicating its characteristic dimensions: ""Cell height,"" ""Rib width,"" ""Cell diameter,"" and ""Thickness.""
**(d)** An SEM image shows a 50-nm-thick cantilever without a honeycomb pattern, colored blue, suspended over a dark rectangular void. The film exhibits significant warping and curling. A white scale bar at the bottom right measures 200 μm.
**(e)** An SEM image depicts a 1-mm-long, 25-nm-thick honeycomb patterned plate, colored blue, being bent by more than 90° using a pointed micromanipulator tip without any visible fracture. The plate remains attached on its right side. A white scale bar at the bottom right measures 200 μm.
**(f)** A schematic illustration shows a 3D view of a honeycomb patterned plate, colored blue, intersected by two perpendicular red planes. The main view provides an overview of the intersection. The top-right inset presents a zoomed-in detail of a cross-section, showing how the plane intersects the vertical walls of individual cells. The bottom-right inset displays a top-down view of the hexagonal pattern, marked in green, with red lines indicating the intersection points of the planes.","Figure 1: Geometry of honeycomb plate metamaterials. (a) An scanning electron microscopic (SEM) image of a 1-mm-long cantilevered plate made using a hexagonal honeycomb metamaterial geometry. The 35-nm-thick ALD alumina film is coloured for clarity. Scale bar, 100 μm. (b) An SEM image of the detail of the cell structure. Scale bar, 10 μm. (c) A schematic representation showing an individual cell with its characteristic dimensions. (d) An SEM image of a 50-nm-thick cantilever without the honeycomb pattern, illustrating the warping typical of suspended flat ultrathin films. Scale bar, 200 μm. (e) An SEM image of a 1-mm-long 25-nm-thick plate bent by more than 90° using a micromanipulator without any fracture. After the tip of the micromanipulator was removed, the plate recovered its original shape (see Supplementary Movie 1, Supplementary Note 2 and Supplementary Figs 3 and 4). Scale bar, 200 μm. (f) Schematic illustrating the requirement that any plane perpendicular to the plate will intersect vertical walls. The insets show zoomed-in detail of how the plane intersects individual cells.",gemini-2.5-flash
000002.png,"Three-panel composite image labeled a, b and c (scale bar in panel c indicates 3 mm).

Panel a (left): Close-up photograph of two blue, textured nitrile-gloved fingertips pinching a very thin, translucent rectangular plate. The plate is bent between the fingers, showing a smooth curved profile and flexible behavior. Lighting emphasizes the plate’s semi-transparent appearance and sharp thin edge.

Panel b (center): The same translucent plate resting flat on the tip of a single blue-gloved finger. The plate lies conformally on the fingertip without visible creases or fracture; its rectangular outline and smooth surface are evident against a dark background.

Panel c (right): The plate placed across two small yellow flower petals; the petals remain unbent beneath the plate, showing the plate does not depress or deform the petals. A white scale bar labeled 3 mm appears near the lower left of this panel. A red-framed inset at the right of panel c shows a high-magnification view of the plate surface: a uniform honeycomb (hexagonal) microstructure with regularly spaced cell walls and a textured appearance. The inset is positioned and outlined in red with a red zoom connector to the main image.","Figure 4: Photographs of large-area honeycomb plates. Before (a) and after (b) pictures of a bent 0.5 × 1.0 cm honeycomb plate. (c) Same plate placed on flower petals does not cause any bending of the petals. Scale bar, 3 mm. The inset zooms in on a section of the plate showing the honeycomb microstructure.",gpt-5-mini
000003.png,"a) 3D profilogram (scatter surface) of a free-standing plate showing Z (µm) versus X (mm) and Y (mm). X axis spans 0–~1.2 mm, Y axis spans 0–~0.8 mm, Z axis labeled in micrometres with range from −5 to +5 µm. The surface points are color-coded (cool blues at low Z through greens/yellows to reds at high Z) and form a smooth, shallow concave (cup-like) curvature across the plate. b) Cross-section through the plate along the X direction: vertical axis Z_i (µm), horizontal axis X (mm) from 0 to 1.2 mm. Blue scattered profilometer data points form a parabolic trough; a red solid parabolic fit is overlaid and closely follows the data. An inset top-view schematic of the plate shows the cross-section location marked by a red horizontal line. c) Cross-section through the plate along the perpendicular Y direction: vertical axis Z_i (µm), horizontal axis Y (mm) (plot range ~0.3–1.0 mm). Blue scattered profilometer points again form a parabolic profile; a green solid parabolic fit is overlaid. Inset top-view schematic shows the Y cross-section location marked by a green vertical line. Overall vertical variation is on the order of a few micrometres (Z spanning roughly −5 to +5 µm) across the ~0.8 × 1.2 mm field of view.","Figure 5: Residual curvature of centimetre-scale plates. (a) Profilogram of a free-standing ALD honeycomb plate resting on a flat chuck, obtained using a Zygo white-light optical profilometer. The vertical scale is greatly exaggerated (by approximately two orders of magnitude) to illustrate the small residual curvature of the plate. For this large field of view of the profilometer, the sidewalls and bottom surfaces of the plate are not resolved correctly and therefore do not appear in this plot (see Supplementary Fig. 13 and Supplementary Note 7 for higher-resolution profilograms that show sidewalls and cup bottoms). (b) Cross-section profile and the parabolic fit to the top surfaces of the plate, used to determine the radius of curvature of the plate along the X direction (rX≈5 cm). The inset shows the location of the cross section. (c) Same for the perpendicular Y direction (rY≈11 cm).",gpt-5-mini
000004.png,"The figure compares bending behavior and stiffness enhancement in corrugated structures and honeycomb plate metamaterials.

a. Two 3D illustrations of a prismatic corrugated sheet with constant cross-section clamped to a blue block (cantilever). The orientations show anisotropic bending: the sheet exhibits high stiffness when bending is aligned with the corrugation ribs and low stiffness when bending is perpendicular to them. The corrugation is periodic, with multiple parallel ribs visible; the free end deflects differently in the two orientations.

b. Graph of isotropic enhancement factor versus the geometric ratio of cell diameter to rib width, labeled:
- x-axis: “Cell diameter/rib width, D/w” with ticks at 0, 10, 20.
- y-axis: “Enhancement, EF_max” with ticks at 0, 200, 400, 600.
A solid curve increases monotonically and steeply with D/w. Four square markers lie on or near the curve; approximate values from the plotted points suggest:
- Near D/w ≈ 0: EF_max ≈ 0–20.
- Around D/w ≈ 8–10: EF_max ≈ 70–120.
- Around D/w ≈ 12–15: EF_max ≈ 150–220.
- Near D/w ≈ 20–22: EF_max ≈ 550–650.
Inset schematic (top-left of panel b) shows a hexagonal honeycomb unit cell with labels: D (inner diameter of the hexagon) and w (rib width), indicating how these parameters define D/w.

c. COMSOL finite element simulation of a hexagonal honeycomb plate showing elastic energy density as a color map. Blue corresponds to low energy density and red to high. The highest energy density (red/yellow) is localized at triangular regions around the vertices where ribs intersect; the hexagon walls and ribs away from intersections are predominantly low-energy (blue), highlighting concentration of bending in small areas near junctions.","Figure 2: Simulated bending properties of traditional corrugated sheets and plate metamaterials. (a) Illustration of the anisotropic bending stiffness of periodic corrugated sheets with a constant cross-section. (b) Isotropic enhancement factor of honeycomb corrugated sheets versus the ratio of cell diameter to rib width. (c) COMSOL finite element simulation illustrating the concentration of elastic energy in the areas where the ribs intersect. The colour represents the elastic energy density, with red areas corresponding to the highest elastic energy density and blue to the lowest.",gpt-5
000005.png,"Composite figure illustrating bending response of honeycomb ALD-alumina cantilevers.

a. SEM of a 1‑mm‑long honeycomb cantilevered plate without continuous vertical sidewalls. The inset shows a zoom of the edge region, revealing the absence of tall sidewalls along the perimeter. Scale bar: 50 μm.

b. SEM of a similar 1‑mm‑long honeycomb cantilever with continuous vertical sidewalls running along both edges. The inset shows a zoom of the edge with the tall sidewall present. Scale bar: 50 μm.

c. Force–displacement (Force in nN vs Displacement in nm) for cantilevers without sidewalls. Each curve is approximately linear over 0–400 nm displacement, with lower thickness yielding lower force.
- h = 7 μm, t = 100 nm (green)
- h = 10 μm, t = 106 nm (orange)
- h = 10 μm, t = 75 nm (blue)
- h = 10 μm, t = 50 nm (red)
Maximum forces at ~400 nm are below ~0.25 nN across all curves.

d. Force–displacement for cantilevers with sidewalls. Curves are linear over 0–400 nm, but forces are much larger than in c.
- h = 14 μm, t = 53 nm (orange label at top left)
- h = 10 μm, t = 72 nm (orange)
- h = 10 μm, t = 53 nm (red)
- h = 10 μm, t = 35 nm (green)
- h = 10 μm, t = 25 nm (purple)
For comparable displacements, forces reach tens of nN (up to ~40 nN near 400 nm for the stiffest case).

e. Spring constant (N m⁻¹) vs film thickness (nm) for 10 μm cell height plates, comparing sidewall and no‑sidewall cases. The x‑axis spans ~25–100 nm thickness. The y‑axis is logarithmic.
- With sidewalls (red squares): trend line shows k ∼ t^(1.2 ± 0.3); dashed lines show an uncertainty band around the trend.
- Without sidewalls (blue squares): trend line shows k ∼ t^(2.9 ± 0.5); dashed lines show an uncertainty band around the trend.
Red points (with sidewalls) lie roughly an order to two orders of magnitude above the blue points (without sidewalls) at comparable thicknesses.","Figure 3: Measured bending response of honeycomb cantilevers with and without sidewalls. Scanning electron micrographs of a 1-mm-long cantilevers (a) without and (b) with vertical sidewalls, which dominate the spring constant of cantilever when present. Scale bar, 50 μm in both micrographs. The insets show the vertical sidewall detail. (c) Force-displacement curves measured for 1-mm-long ALD honeycomb cantilevered plates (without vertical sidewalls) for different thicknesses and heights. Note that cantilevers with a thickness of ∼100 nm and heights of 7 and 10 μm have essentially the same spring constant. (d) Same for cantilevers with vertical sidewalls, which increase the overall stiffness of the cantilever by up to two orders of magnitude. Note that the cantilevers with a thickness of ∼50 nm and heights of 10 and 14 μm have dramatically different spring constants, in accordance with the scaling .(e) A comparison between experimental results and simulations for honeycomb structures with 10 μm height and different ALD film thicknesses (with and without sidewalls). The curves show the actual predictions of the finite-element simulations (solid lines) along with ±20% confidence interval (dashed lines). The symbols show experimental data. The experimental errors bars denote s.e.m. in c,d and s.d. in e. For the top curve (with sidewalls) in e, the vertical error bars are smaller than the symbols.",gpt-5
000007.png,"This figure presents experimental and theoretical data on the single-crystal and electronic band structure of Pr2Ir2O7, organized into ten panels (a-j).

**Panel (a):** A photograph of the cleaved (111) surface of a Pr2Ir2O7 crystal, viewed through what appears to be a microscope. The surface is metallic and somewhat rough. A blue triangular outline highlights a specific region on the crystal's surface.

**Panel (b):** A photograph of a dark, polyhedral single crystal of Pr2Ir2O7. A white double-headed arrow below the crystal serves as a scale bar, indicating a dimension of 1 mm.

**Panel (c):** A grayscale Scanning Electron Microscope (SEM) image showing the cleaved, triangular (111) surface of the crystal from panel (a). The surface shows some texture and smaller dark spots. A blue square outlines a region for magnification. A white double-headed arrow indicates a scale of 200 µm.

**Panel (d):** A magnified SEM image of the area marked by the blue square in panels (a) and (c). This image reveals a flatter region with some surface features like small pits and a faint line. A yellow circle is drawn on this flat area. A white double-headed arrow indicates a scale of 50 µm.

**Panel (e):** A schematic of the crystal structure of Pr2Ir2O7. It shows a unit cell containing blue, corner-sharing tetrahedra, which represent the pyrochlore lattice formed by either Ir or Pr atoms. A coordinate system with axes a, b, and c is shown.

**Panel (f):** A 3D diagram of the first Brillouin zone for the pyrochlore lattice. It's a truncated octahedron with high-symmetry points labeled Γ, L, K, and W. Several planes are highlighted: a hexagonal plane containing Γ, K, and W (blue outline), a larger hexagonal plane containing L (green shading), and a square face (red outline). Red arrows indicate the directions of kx, ky, and k(111).

**Panel (g):** A 2D plot of the calculated band dispersion along high-symmetry lines.
*   **Title/Label:** ""Band dispersion along high-symmetry lines obtained by the first-principles calculation.""
*   **Y-axis:** Energy (eV), ranging from -2.0 to 0.5. The Fermi level is at 0.0 eV, marked by a dashed horizontal line.
*   **X-axis:** Wave number, k, showing the path X → W → Γ → L → W.
*   **Data:** Multiple blue curves show the energy bands. A magenta circle with an arrow points to the Γ point at the Fermi level (0.0 eV), labeled ""Fermi node"". This point represents a quadratic band touching.

**Panels (h), (i), and (j):** A series of 3D plots showing the calculated band dispersions in three different kx-ky planes perpendicular to the k(111) direction, as colored in panel (f).
*   **Common Axes:** The horizontal plane is defined by kx(Å⁻¹) and ky(Å⁻¹), both ranging from -0.2 to 0.2. The vertical axis is Energy (eV), ranging from -0.10 to 0.10. The Fermi level is at 0.00 eV.
*   **Panel (h):** Shows the band structure in a plane crossing the L point. Two distinct bands are visible, separated by a significant energy gap at the L point.
*   **Panel (i):** Shows the band structure in a plane between the Γ and L points. The energy gap between the upper and lower bands is smaller than in panel (h).
*   **Panel (j):** Shows the band structure in the plane crossing the Γ point. The upper and lower parabolic bands touch at the Γ point, right at the Fermi level (0.00 eV). This touching point is indicated by a magenta circle and an arrow, labeled ""Fermi node"".","Figure 2: Single-crystal and first-principles band calculation for Pr2Ir2O7. (a,b) Photos of the cleaved (111) surface measured by ARPES and single crystal we used, respectively. The top surface with a triangle shape is the (111) plane. (c) The SEM image for the cleaved surface of a. (d) The same image as c, but magnified in a small region marked by a blue square in a and c. The arrows in b,c and d indicate dimensions of 1 mm, 200 and 50 μm, respectively. (e) Crystal structure of Pr2Ir2O7 showing the pyrochlore lattice of Ir (or Pr) atoms. (f) Brillouin zone. (g) Band dispersion along high-symmetry lines obtained by the first-principles calculation. Band dispersions in three kx-ky planes (coloured in f) perpendicular to the k(111) direction: crossing L (h), crossing Γ (j) and crossing between these two points (i). The Fermi node is indicated with a magenta circle and arrow in g and j.",gemini-2.5-pro
000008.png,"Multi-panel figure (a–f) presenting ARPES analyses of Pr2Ir2O7 focused on temperature evolution, dispersions near Γ, and evidence for a Fermi node.

a) Plot of FD-divided EDCs at k(111)=0.
- Axes: Intensity (arb. units) vs Energy (eV), range approximately −0.3 to +0.05 eV; EF at 0 eV.
- Temperature series (legend): 15 K (blue), 30 K, 50 K, 75 K, 100 K, 150 K.
- Curves show a sharp quasiparticle peak near EF at low T that is progressively suppressed with increasing T.
- Spectral peak positions are marked by colored circles near EF.
- Inset (top right): corresponding original EDCs (not FD-divided) over the same energy window.

b) Plot of FD-divided EDCs at k(111)=0.31 Å−1.
- Same axes and temperature legend as (a).
- Clear suppression of the low-energy peak with increasing T.
- A black arrow highlights an upturn of spectral weight above EF (positive energy side).
- Inset: original EDCs.

c) Series of FD-divided EDCs along a momentum cut crossing Γ for six temperatures: 15 K, 30 K, 50 K, 75 K, 100 K, 150 K (one panel per temperature).
- Axes: Intensity vs Energy (eV), plotted from roughly −0.1 to +0.1 eV. A red vertical dashed line marks EF (0 eV).
- Stacked EDCs along the momentum cut (arrow on left indicates increasing momentum toward Γ).
- Spectral peak positions along the cut are indicated by red bars; dashed curves trace the extracted dispersion.
- A magenta curve and magenta circle highlight the point where the dispersion touches EF (Fermi node) near Γ. At higher temperature (e.g., 150 K), peaks are strongly suppressed, hampering dispersion determination.

d) Calculated band dispersions near EF along a high-symmetry path.
- Axes: Energy (eV) vs Wave number k with labeled symmetry points: X – W – Γ – L – W.
- Blue bands show a quadratic touching at Γ; the “Fermi node” is marked by a magenta label and dot at EF.
- Inset: Brillouin zone of Pr2Ir2O7 with high-symmetry points (Γ, L, K, W) and axes kx, ky; a red arrow denotes k(111). A light-blue arrow indicates the momentum cut crossing Γ used in (c,e,f).

e) Experimental dispersion along the Γ-crossing cut at T=75 K.
- Axes: Energy (eV) vs ky (Å−1), ky spanning roughly −0.4 to +0.3 Å−1.
- Red circles (with error bars): band positions from FD-divided EDCs.
- Blue circles: band positions from symmetrized EDCs (superimposed).
- Light-blue dashed curve: quadratic fit labeled “Fitting (m* = 6.3 me)” indicating an effective mass of 6.3 times the electron mass.
- Horizontal magenta line labeled “Fermi node” at 0 eV; vertical dotted line at ky=0.

f) ARPES dispersion map (FD-divided at 75 K) along the Γ-crossing cut.
- Color scale: Low (blue) to High (red) intensity.
- Axes: Energy (eV) vs ky (Å−1) over approximately −0.1 to +0.1 eV and −0.4 to +0.3 Å−1.
- A black arrow indicates notable spectral weight above EF.
- Black dotted parabola overlays the map, touching EF at ky≈0 (Γ), consistent with a quadratic band touching.
- Caption within panel: “EDC / FD at 75 K”; Γ position is marked at the top axis.

Key visual takeaways:
- Temperature-dependent suppression of quasiparticle peaks both at k(111)=0 and off-Γ (k(111)=0.31 Å−1).
- FD-division and symmetrization yield consistent dispersions.
- Quadratic band dispersion touching EF at Γ (Fermi node) with effective mass m* ≈ 6.3 me.
- Presence of spectral weight above EF, especially off Γ, consistent with an unoccupied conduction band near the quadratic touching.","Figure 5: Temperature evolution of ARPES spectra and evidence for the Fermi nodal state. (a,b) Temperature variation of FD-divided EDCs measured at Γ (hν=10.5 eV) and off Γ (hν=21.2 eV), respectively. In d, the observed k points for a and b are marked by purple and orange dashed lines, respectively. The unoccupied side is displayed up to the energy of 3kBT. The spectral peak positions are marked by coloured circles. The original EDCs used for the analysis are plotted in the insets. (c) The FD-divided EDCs along a momentum cut indicated in d with a light-blue arrow measured at various temperatures. The spectral peak positions are indicated by red bars and dashed curves. The Fermi node is marked by a magenta circle. At T=150 K, the spectral peaks are strongly suppressed, and thus the dispersion cannot be determined. (d) Band dispersions obtained by the first-principles calculation, magnified in the region close to EF. In the inset, the Brillouin zone of Pr2Ir2O7 is shown. (e) The energy dispersion along a momentum cut crossing Γ (light-blue arrow in d), determined from the peak positions of the FD-divided spectra at T=75 K in c (red circles). The same plots, but determined from the peak positions of symmetrized spectra, are superimposed (blue circles). The quadratic dispersion (light-blue dashed curve) nicely fits the data. (f) ARPES dispersion map crossing Γ (light-blue arrow in d) measured at hν=10.5 eV. The original ARPES intensities are divided by the energy-resolution convoluted Fermi function at the measured temperature of T=75 K to remove the cutoff effect near EF. The thick black arrow points to the remarkable spectral weight above EF, consistent with the existence of conduction touching band in the unoccupied side. Error bars in e represent uncertainty in estimating the spectral peak positions.",gpt-5
000009.png,"Figure with seven panels (a–g) showing ARPES measurements in momentum and energy.

a. Brillouin-zone schematic:
- A polyhedral BZ is drawn with a highlighted hexagonal kx–ky sheet.
- Labeled high-symmetry points: Γ (Gamma), L, K, W, X, Z.
- Red arrows indicate axes k(111), kx, ky.
- The hexagonal sheet is annotated with “52 eV” near Γ and “39 eV” near L, indicating photon energies used for cuts crossing these points.

Color scale (applies to ARPES intensity maps): Low (blue) to High (red).

b. ARPES intensity at the Fermi level EF for hν = 52 eV (kx–ky map):
- Axes: ky (Å⁻1) horizontal from −0.4 to 0.4; kx (Å⁻1) vertical from −0.4 to 0.4.
- A red hexagon outlines the projected BZ.
- A strong, nearly circular high-intensity spot is centered at (kx, ky) ≈ (0, 0) with a white crosshair.
- Vertical dashed line at ky = 0.
- Green and orange double-headed arrows along ky and kx indicate the directions of the cuts used in d.

c. ARPES intensity at EF for hν = 39 eV (kx–ky map):
- Same axis ranges as in b and outlined by a cyan hexagon.
- The map shows low intensity overall; no central hot spot.
- Vertical dashed line at ky = 0.
- Green and orange arrows indicate cut directions used in e.

d. ARPES dispersion maps at hν = 52 eV (crossing Γ):
- Left panel: Energy (eV) vertical, from about +0.1 to −0.1; horizontal axis ky (Å⁻1) from −0.4 to 0.4. A bright feature approaches/touches EF at ky ≈ 0. Vertical dashed line at ky = 0. Green double-headed arrow at top.
- Right panel: Energy (eV) vertical, from about +0.1 to −0.1; horizontal axis kx (Å⁻1) from −0.3 to 0.3. Similar band touching EF at kx ≈ 0. Vertical dashed line at kx = 0. Orange double-headed arrow at top.

e. ARPES dispersion maps at hν = 39 eV (crossing L):
- Left: Energy (eV) vs ky (Å⁻1) from −0.3 to 0.3. Spectral weight remains below EF with a flatter, gapped appearance; no touching at EF at ky = 0.
- Right: Energy (eV) vs kx (Å⁻1) from −0.3 to 0.3. Similar flat, gapped dispersion; no EF crossing at kx = 0.
- Vertical dashed lines at momentum zero in both panels, green and orange arrows at top as in d.

f. Symmetrized EDCs corresponding to d (hν = 52 eV):
- Two stacks of curves (left: along ky; right: along kx) plotted as Intensity vs Energy (eV), energy axis from −0.1 to 0.1 with EF at 0 (dotted vertical line).
- Dotted colored guides (green for ky, orange for kx) trace a V-shaped dispersion that reaches EF at zero momentum.
- The occupied-side bandwidth is annotated as “~ 40 meV” above each stack.
- A magenta curve is included near the bottom of each stack with a magenta dot marking EF.

g. Symmetrized EDCs corresponding to e (hν = 39 eV):
- Two stacks of curves (left: ky; right: kx), same energy axis (−0.1 to 0.1 eV) and EF marker at 0.
- Dotted green/orange guides trace broader, flatter features that do not pinch to EF at zero momentum.
- “~ 40 meV” bandwidth annotation appears above each stack.","Figure 4: ARPES intensity mapping at the Fermi level across Γ and L points. (a) Brillouin zone, showing momentum sheets along which ARPES data were measured. The momentum cuts at hν=52 and 39 eV crosses the Γ and L points, respectively, in the 3rd Brillouin zone. (b,c) ARPES intensities at EF in the kx-ky sheet crossing Γ and L measured at hν=52 and 39 eV, respectively. For the data at hν=39 eV, only the positive side of ky were measured, and it is reflected to the negative side. (d) ARPES dispersion maps for hν=52 eV, measured along ky and kx crossing Γ (green and orange arrows in b, respectively). (e) The same data as d, but for hν=39 eV, which cross the L point. (f,g) EDCs of d and e, respectively, symmetrized about EF. The dimension arrows estimate the bandwidth of ∼40 meV in the occupied side.",gpt-5
000010.png,"Angle-resolved photoemission spectroscopy (ARPES) analysis of Pr2Ir2O7 electronic structure revealing a quadratic Fermi node. (a) Schematic representations of the Brillouin zone (BZ) illustrate the measurement geometry: a hexagonal projection and a 3D truncated octahedron highlight the $k_{(111)}-k_x$ momentum sheet (orange plane). Dashed lines indicate momentum cuts corresponding to photon energies ($h\nu$) ranging from 7 eV to 18 eV, traversing the $\Gamma$ point ($h\nu=10$ eV) and L point ($h\nu=18$ eV). (b) Energy dispersion plots along the $k_x$ direction quantify the band evolution. As photon energy increases from 7 eV to 10 eV, the valence band maximum shifts upwards from approximately -0.02 eV to touch the Fermi level ($E_F$) at 0.00 eV, identifying the Fermi node at the $\Gamma$ point ($h\nu=10$ eV). The dispersion at 10 eV is parabolic, accurately fitted by a quadratic function $\varepsilon(k) \propto k^2$ (light-blue dotted line), yielding an effective mass $m^* = 6.3m_e$, consistent with first-principles band calculations (solid grey line). (c) A three-dimensional visualization of the calculated band structure displays the touching of conduction and valence bands at $\Gamma$. Overlaid experimental data points (blue to red) track the parabolic dispersion along the cone surface. (d) Symmetrized energy distribution curves (EDCs) along $k_x$ demonstrate the closing of the energy gap; at $h\nu=7$ eV, a distinct gap of $\sim$20 meV is observed at $k_x=0$, which evolves into a single peak at $E_F$ (magenta circle) at $h\nu=10$ eV. (e) EDCs and symmetrized EDCs along the $k_{(111)}$ axis ($\Gamma$-L direction) confirm 3D dispersion. The band approaches $E_F$ as photon energy increases to 10 eV and recedes at higher energies (up to 18 eV), tracing a quadratic dispersion along $k_{(111)}$. Arrows and circles on the raw EDCs indicate dip-hump structures characteristic of mode coupling.","Figure 3: ARPES spectra revealing a quadratic Fermi node in the 3D band of Pr2Ir2O7. (a) Brillouin zone, showing a momentum sheet along which ARPES data were measured. The momentum cuts at hν=10 and 18 eV crosses the Γ and L points in the 1st Brillouin zone. (b) Energy dispersions along the kx direction measured at hν=7, 8, 9 and 10 eV. The corresponding momentum cuts are indicated in a by dashed coloured lines. The band dispersion obtained by the first-principles band calculation is superimposed (grey curve). The data close to EF is fitted by a parabolic function, ɛ(k)∝k2 (light-blue dotted curve). The estimated effective mass at Γ, meff=6.3m0 (m0: free electron mass), is in agreement with the band calculation. (c) The calculated band dispersion in the kx-k(111) sheet, painted with orange in a. On it, the ARPES data in b are plotted. (d) The ARPES data (symmetrized energy distribution curves (EDCs)) along the kx direction measured at several photon energies. All the spectra shown were accumulated at T=15 K. The energy positions of spectral peaks are marked by bars and dashed curves. (e) EDCs and the corresponding symmetrized EDCs along the Γ-L direction, measured at k points marked with green circles in a. The energy positions of dip and hump, suggesting mode coupling, are marked by arrows and circles, respectively, on EDCs. Error bars in b represent uncertainty in estimating the spectral peak positions.",gemini-3-pro-preview
000011.png,"- Overall layout: Three panels labeled a, b, and c.
- Axes and units common to a and b:
  - Horizontal axis: Voltage (mV), range −3 to +3 mV with tick labels at −2, 0, +2 mV.
  - Vertical axis: Differential conductance (nA mV⁻¹). No numeric tick labels, scale shown graphically from ~0.1 to ~0.5 nA mV⁻¹.
  - Blue spectra are dI/dV curves measured at different magnetic fields B. Zero bias is at 0 mV.

Panel a (labeled “(0,2)”):
- Green text: J/εK = 1.
- Five dI/dV spectra, each annotated (top to bottom) with:
  - 3.50 T
  - 3.25 T
  - 3.00 T
  - 2.75 T
  - 2.50 T
- Spectral behavior:
  - Around 3.00–3.25 T a prominent zero-bias peak is visible at 0 mV.
  - At fields away from this range (2.50 T and 3.50 T), the zero-bias peak is suppressed and the spectra exhibit a dip at 0 mV.
  - Each spectrum shows broader conductance features extending to |V| ≈ 2–3 mV.
- Inset schematic: two blue dots (the dimer) on a gray lattice.

Panel b (labeled “(3/2,1/2)”):
- Green text: J/εK = 1.6.
- Four dI/dV spectra with field annotations:
  - 6.0 T (top)
  - 5.0 T
  - 4.5 T
  - 4.0 T (bottom)
- Spectral behavior:
  - A strong zero-bias peak appears near intermediate fields (around 5.0 T); at 4.0 T and 6.0 T the spectra show a dip at 0 mV.
  - Broad side features are present up to |V| ≈ 2–3 mV.
- Inset schematic: two blue dots on a gray lattice with a red arrow.

Panel c (phase diagram):
- Left vertical axis: g μB B / εK, numeric labels 0 to 5 (bottom to top).
- Right vertical axis (green): Magnetic field (T), numeric labels 0 to 8 (bottom to top).
- Horizontal axis: J / εK with a double break; numeric labels include −4 (far left), −3, 0 (center vertical line), 3, 8, 9 (far right).
- Regions and text:
  - Bottom left: “Two-impurity triplet.”
  - Bottom right: “Two-impurity singlet.”
  - Upper middle: “Single imp. local moment.”
  - Along a vertical line at J/εK = 0: “Single imp. Kondo.”
  - Diagonal solid line labeled: g μB B = 13/8 J.
  - Green shaded band centered on the diagonal line labeled: “Two-imp. Kondo,” bounded by black dashed lines.
- Data markers:
  - Filled blue circles distributed across the diagram (various J/εK and g μB B / εK values).
  - White open circles and white open squares clustered within the green shaded band; white squares indicate a Kondo resonance.
  - Two white markers are highlighted (corresponding to panels a and b).
- Labels above the plot indicating dimer types and their approximate J/εK locations:
  - {1,1} at negative J/εK (left).
  - {3/2,3/2} near J/εK ≈ 0.
  - {0,2} and {3/2,1/2} near J/εK ≈ 1–2 (within the shaded two-impurity Kondo region).
  - {2,0} at large positive J/εK (right).

Key visual findings from the spectra and diagram:
- Both dimers (0,2) and (3/2,1/2) exhibit a zero-bias Kondo peak only within a narrow magnetic-field window near a critical field; the peak disappears at higher and lower fields, leaving a zero-bias dip.
- The two sets of measurements map onto the green “Two-imp. Kondo” band in panel c at:
  - J/εK = 1 (panel a) and J/εK = 1.6 (panel b),
  - With corresponding fields indicated by the y-axes (up to ≈3.5 T for panel a and up to ≈6 T for panel b).
- The phase diagram captures all regimes: two-impurity triplet (left, low field), single-impurity Kondo at J/εK ≈ 0, two-impurity Kondo along the diagonal band, and two-impurity singlet at large positive J/εK.","Figure 4: Two-impurity Kondo screening phase. (a,b) Differential conductance spectra for the {0, 2} and the {3/2, 1/2} dimer, respectively, around the critical field of each pair. (c) Phase diagram of the two-impurity Kondo problem showing the locations of performed measurements; white markers refer to panels a,b. The data points marked with a square indicate the presence of a Kondo resonance. The solid line marks the position of the ground state degeneracy.",gpt-5
